PM1507.CZC,2014/8/14,2460,2014/8/15,,0
SF1501.CZC,2014/8/15,5774,2014/8/21,5742,-0.005542085
PM1507.CZC,2014/8/21,2446,2014/8/22,,0
SF1501.CZC,2014/8/22,5716,2014/8/25,5738,0.003848845
FU1508.SHF,2014/8/4,3844,2014/8/27,3295,-0.142819979
PM1507.CZC,2014/8/25,2492,2014/8/27,,0
HC1410.SHF,2014/3/21,3324,2014/8/28,3132,-0.057761733
SF1501.CZC,2014/8/27,5766,2014/8/29,5800,0.005896635
AU1412.SHF,2014/8/28,256.3,2014/8/29,256.75,0.001755755
B1409.DCE,2014/8/27,3550,2014/8/29,3420,-0.036619718
PM1507.CZC,2014/8/29,2523,2014/9/1,,0
HC1410.SHF,2014/8/29,3164,2014/9/1,3148,-0.00505689
FU1508.SHF,2014/8/29,3229,2014/9/2,3229,0
SF1501.CZC,2014/9/1,5776,2014/9/11,5698,-0.013504155
PM1507.CZC,2014/9/11,2441,2014/9/12,,0
SF1501.CZC,2014/9/12,5728,2014/9/16,5764,0.006284916
PM1507.CZC,2014/9/16,2519,2014/9/18,,0
SF1501.CZC,2014/9/18,5758,2014/10/13,5630,-0.022229941
PM1507.CZC,2014/10/13,2522,2014/10/14,,0
SF1501.CZC,2014/10/14,5580,2014/10/17,5588,0.001433692
PM1507.CZC,2014/10/17,2528,2014/10/20,,0
V1501.DCE,2014/8/5,6025,2014/11/3,5725,-0.049792531
P1501.DCE,2014/6/16,5888,2014/11/6,5220,-0.113451087
AG1412.SHF,2014/5/12,4080,2014/11/6,3288,-0.194117647
AG1506.SHF,2014/11/6,3241,2014/11/7,3240,-0.000308547
JR1501.CZC,2014/11/7,3318,2014/11/10,3220,-0.029535865
SR1501.CZC,2014/6/18,5025,2014/11/10,4623,-0.08
TA1501.CZC,2014/8/6,6926,2014/11/25,5840,-0.156800462
SF1501.CZC,2014/10/20,5620,2014/12/4,5494,-0.022419929
PM1511.CZC,2014/12/4,2673,2014/12/5,,0
FU1509.SHF,2014/9/2,3229,2014/12/8,3124,-0.032517807
ME1501.CZC,2014/7/29,2842,2014/12/9,2529,-0.110133709
HC1501.SHF,2014/9/1,3110,2014/12/15,3010,-0.032154341
SF1501.CZC,2014/12/5,5468,2014/12/19,5538,0.012801756
LR1501.CZC,2014/7/8,2813,2015/1/5,,0
SF1505.CZC,2015/1/5,5344,2015/1/7,5342,-0.000374251
LR1501.CZC,2015/1/7,2820,2015/1/8,,0
PM1511.CZC,2015/1/8,2643,2015/1/9,,0
SF1505.CZC,2015/1/9,5342,2015/1/12,5386,0.008236615
LR1505.CZC,2015/1/12,2832,2015/2/3,,0
SF1505.CZC,2015/2/3,5166,2015/2/4,5140,-0.005032907
LR1505.CZC,2015/2/4,2782,2015/2/10,,0
SF1505.CZC,2015/2/10,5160,2015/2/12,5156,-0.000775194
SR1505.CZC,2014/11/10,4697,2015/2/16,5097,0.085160741
LR1505.CZC,2015/2/12,2784,2015/2/25,,0
SR1509.CZC,2015/2/16,5172,2015/2/25,5061,-0.021461717
SF1505.CZC,2015/2/25,5178,2015/2/26,5140,-0.007338741
LR1505.CZC,2015/2/26,2784,2015/2/27,,0
PM1601.CZC,2015/2/27,2564,2015/3/2,,0
SF1505.CZC,2015/3/2,5180,2015/3/4,5058,-0.023552124
P1505.DCE,2014/11/6,5296,2015/3/5,5056,-0.045317221
LR1505.CZC,2015/3/4,2771,2015/3/6,,0
SF1505.CZC,2015/3/6,5122,2015/3/11,5084,-0.007418977
FU1510.SHF,2014/12/8,3224,2015/3/12,3364,0.043424318
V1505.DCE,2014/11/3,5555,2015/3/27,5560,0.00090009
SF1505.CZC,2015/3/27,4888,2015/3/30,,0
TA1505.CZC,2014/11/25,5644,2015/3/31,4514,-0.200212615
LR1505.CZC,2015/3/11,2771,2015/4/3,,0
CS1505.DCE,2014/12/19,2793,2015/4/3,3003,0.07518797
SF1505.CZC,2015/4/2,4922,2015/4/3,,0
SN1507.SHF,2015/4/3,118850,2015/4/7,118860,8.41E-05
LR1505.CZC,2015/4/7,2650,2015/4/8,,0
HC1505.SHF,2014/12/15,2926,2015/4/8,2350,-0.196855776
SF1505.CZC,2015/4/7,4748,2015/4/9,4656,-0.01937658
LR1505.CZC,2015/4/9,2641,2015/4/10,,0
SF1505.CZC,2015/4/10,4560,2015/4/13,4684,0.027192982
SF1505.CZC,2015/4/15,4854,2015/4/16,4876,0.004532344
MA1506.CZC,2014/12/9,2322,2015/4/17,2522,0.086132644
LR1505.CZC,2015/4/13,2641,2015/4/17,,0
SF1505.CZC,2015/4/17,4856,2015/4/20,4818,-0.007825371
LR1505.CZC,2015/4/20,2733,2015/4/27,,0
PM1603.CZC,2015/4/27,2362,2015/4/28,,0
LR1505.CZC,2015/4/28,2699,2015/5/4,,0
SF1509.CZC,2015/5/4,4868,2015/5/5,4832,-0.007395234
AG1506.SHF,2014/11/10,3324,2015/5/7,3571,0.074308063
LR1505.CZC,2015/5/5,2588,2015/5/7,,0
LR1505.CZC,2015/5/8,2530,2015/5/11,,0
SF1509.CZC,2015/5/11,4978,2015/5/12,5012,0.006830052
LR1505.CZC,2015/5/12,2488,2015/5/13,,0
SF1509.CZC,2015/5/13,4988,2015/5/14,4982,-0.001202887
LR1505.CZC,2015/5/14,2751,2015/5/18,,0
SN1507.SHF,2015/5/18,119250,2015/5/19,118140,-0.009308176
SF1509.CZC,2015/5/19,5088,2015/5/20,5056,-0.006289308
PM1605.CZC,2015/5/20,2648,2015/5/21,,0
SF1509.CZC,2015/5/21,5006,2015/5/28,,0
PM1605.CZC,2015/5/28,2748,2015/5/29,,0
SF1509.CZC,2015/5/29,4920,2015/6/2,,0
SN1507.SHF,2015/6/2,116520,2015/6/3,115680,-0.007209063
P1509.DCE,2015/3/5,4918,2015/6/4,5126,0.042293615
SF1509.CZC,2015/6/3,4996,2015/6/4,,0
SN1507.SHF,2015/6/4,114800,2015/6/10,115440,0.005574913
PM1605.CZC,2015/6/10,2735,2015/6/11,,0
SN1507.SHF,2015/6/11,115420,2015/6/12,113700,-0.014902097
