code,date,open,high,low,close,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh000001,2014-12-19,3053.08,3117.53,3018.42,3108.6,,,,3108.6,3108.6,3108.6
sh000001,2014-12-22,3129.27,3189.87,3090.51,3127.45,,,,3119.91,3118.49625,3118.18208333
sh000001,2014-12-23,3085.08,3136.84,3025.67,3032.61,,,,3078.55736842,3086.95933389,3088.70206092
sh000001,2014-12-24,3039.21,3050.51,2934.91,2972.53,,,,3034.51523077,3053.92535443,3058.19103324
sh000001,2014-12-25,2992.46,3073.35,2969.87,3072.54,3062.746,,,3049.11241706,3058.42807878,3061.2552801
sh000001,2014-12-26,3078.01,3164.16,3064.18,3157.6,3072.546,,,3088.75524812,3079.34882424,3078.68007277
sh000001,2014-12-29,3212.56,3223.86,3126.94,3168.02,3080.66,,,3116.81935891,3096.11434881,3092.75402891
sh000001,2014-12-30,3160.8,3190.3,3130.35,3165.82,3107.302,,,3133.81609199,3108.16332087,3102.98769849
sh000001,2014-12-31,3172.6,3239.36,3157.26,3234.68,3159.732,,,3168.33531897,3128.45721484,3119.64565008
