DATE,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
2017/1/21,0.01193955,0.344623,-0.23753,0.400959,3.915584416,0.414841,0.835277968,-0.497879559,0.105039,-0.020568663,-0.069335136,0.187618007,0.232877,-0.2079,1.488908,-0.079979226,-0.10449,-0.10964,2.892295,-0.52062,0.218832,,6.902577084,71,0.538849177,,0.206549355,0.154856,0.835277968,0.156902,0.113309,-0.14847
2017/1/22,-0.013574242,0.344623,-0.23525,0.400959,4.030828872,0.414841,0.835277968,-0.495741056,0.102564,-0.021752266,-0.057549384,0.194502749,0.232877,-0.2079,1.488908,-0.041478679,-0.10449,-0.1086,3.156834,-0.52062,0.211009,,6.929339965,71,0.499026225,,0.196751913,0.157895,0.835277968,0.156902,0.130678,-0.14847
2017/1/23,-0.02331158,0.34931,-0.2386,0.39951,4.030828872,0.414841,0.833905285,-0.51362862,0.105019,-0.021752266,-0.057549384,0.194502749,0.232877,-0.2079,1.45972,-0.041478679,-0.10449,-0.10941,2.834786,-0.53713,0.209962,,6.942604156,71,0.499026225,,0.22899944,0.222862,0.833905285,0.156902,0.12178,-0.15091
2017/1/24,0.000698124,0.349961,-0.23972,0.403016,4.030828872,0.432565,0.833218943,-0.51362862,0.146315,-0.021752266,-0.057549384,0.194502749,0.232877,-0.2079,1.285255,-0.041478679,-0.10449,-0.10248,2.834786,-0.53713,0.208653,,7.025858115,47.33333,0.499026225,,0.225592682,0.212007,0.833218943,0.165509,0.131475,-0.15369
2017/1/25,0.005963487,0.347734,-0.23423,0.395865,4.230710173,0.422922,0.835738832,-0.51362862,0.18665,-0.021752266,-0.057549384,0.194502749,0.232877,-0.2079,1.816481,-0.041478679,-0.10449,-0.08746,2.834786,-0.53713,0.211399,,7.055643767,47.33333,0.499026225,,0.226231039,0.30556,0.835738832,0.16513,0.127735,-0.15547
2017/1/26,0.014434292,0.346639,-0.23448,0.398808,4.258690225,0.422922,0.835738832,-0.428428428,0.173176,-0.021752266,-0.057549384,0.194502749,0.232877,-0.2079,1.816481,-0.041478679,-0.10449,-0.08491,2.834786,-0.53713,0.212335,,7.109149677,47.33333,0.499026225,,0.234736301,0.359952,0.835738832,0.164375,0.139212,-0.1578
2017/1/27,0.010382855,0.335141,-0.23309,0.398634,4.615668581,0.422922,0.843340235,-0.338737695,0.168074,-0.021752266,-0.057549384,0.194502749,0.232877,-0.2079,1.816481,-0.041478679,-0.08058,-0.08449,2.834786,-0.53713,0.186574,,6.830732293,47.33333,0.499026225,,0.235371097,0.444093,0.843340235,0.165887,0.159217,-0.16029
2017/1/28,0.050774878,0.324729,-0.23126,0.397249,5.186624492,0.422922,0.860027855,-0.338737695,0.16303,-0.021752266,-0.057549384,0.194502749,0.222826,-0.23755,1.816481,-0.041478679,-0.08058,-0.08735,2.834786,-0.53713,0.191055,,6.830732293,47.33333,0.499026225,,0.235775399,0.45175,0.860027855,0.177744,0.200337,-0.15737
2017/1/29,0.050774878,0.324729,-0.22986,0.397249,5.223181818,0.422922,0.860027855,-0.070032573,0.145725,-0.038598575,-0.055980018,0.214409105,0.222826,-0.23755,1.816481,0.016828779,-0.08058,-0.08161,2.834786,-0.53713,0.192627,,6.830732293,47.33333,0.378271641,,0.237221494,0.458193,0.860027855,0.177744,0.206211,-0.15737
2017/1/30,0.050774878,0.324152,-0.23134,0.397199,5.223181818,0.422922,0.860027855,-0.070032573,0.148016,-0.038598575,-0.055980018,0.214409105,0.222826,-0.23755,1.816481,0.016828779,-0.08058,-0.08301,2.320309,-0.53713,0.181152,,6.830732293,47.33333,0.378271641,,0.237221494,0.521214,0.860027855,0.177744,0.197081,-0.16247
