2017-12-08,y1805.dce,ru1805.shf,c1805.dce,al1802.shf,OI805.CZC,bu1806.shf
2017-12-18,y1805.dce,ru1805.shf,c1805.dce,a1805.dce,i1805.dce,bu1806.shf
2017-12-20,y1805.dce,ru1805.shf,c1805.dce,bu1806.shf,jd1805.dce,a1805.dce
2017-12-22,jm1805.dce,y1805.dce,p1805.dce,ru1805.shf,a1805.dce,bu1806.shf
2017-12-27,y1805.dce,l1805.dce,al1802.shf,a1805.dce,OI805.CZC,bu1806.shf
2018-01-03,y1805.dce,CF805.CZC,al1803.shf,a1805.dce,OI805.CZC,bu1806.shf
2018-01-08,y1805.dce,CF805.CZC,ru1805.shf,al1803.shf,OI805.CZC,bu1806.shf
2018-01-09,y1805.dce,cs1805.dce,al1803.shf,a1805.dce,OI805.CZC,bu1806.shf
2018-01-10,y1805.dce,CF805.CZC,al1803.shf,a1805.dce,i1805.dce,bu1806.shf
2018-01-17,y1805.dce,CF805.CZC,ru1805.shf,al1803.shf,i1805.dce,bu1806.shf
2018-01-23,CF805.CZC,cs1805.dce,al1803.shf,i1805.dce,OI805.CZC,bu1806.shf
2018-02-02,y1805.dce,CF805.CZC,ru1805.shf,i1805.dce,OI805.CZC,FG805.CZC
2018-02-12,y1805.dce,CF805.CZC,ru1805.shf,OI805.CZC,FG805.CZC,bu1806.shf
