2015-07-28 00:00:00,RU1601.SHF,7191.747732028666,2015-09-01 00:00:00,RU1601.SHF,6504.384797134931,0.09557661927330169
2015-09-17 00:00:00,RU1601.SHF,6615.158162675657,2015-09-24 00:00:00,RU1601.SHF,6532.788224196655,0.012451696006869942
2015-10-08 00:00:00,RU1601.SHF,6470.300684660861,2015-11-12 00:00:00,RU1601.SHF,6112.417503683132,0.05531167690956972
2016-01-29 00:00:00,RU1605.SHF,6302.868228490072,2016-02-19 00:00:00,RU1605.SHF,6552.884059296975,-0.03966699314397636
2016-02-26 00:00:00,RU1605.SHF,6395.46668434448,2016-03-04 00:00:00,RU1605.SHF,6981.923571422401,-0.09169884169884182
2016-03-11 00:00:00,RU1605.SHF,7003.52987778843,2016-04-11 00:00:00,RU1609.SHF,7239.980636101336,-0.03376165482820392
2016-04-18 00:00:00,RU1609.SHF,7411.796870509633,2016-05-03 00:00:00,RU1609.SHF,7702.107059682273,-0.039168665067945724
2016-05-10 00:00:00,RU1609.SHF,7047.427959609279,2016-06-16 00:00:00,RU1609.SHF,6220.93262512799,0.11727616645649423
2016-06-23 00:00:00,RU1609.SHF,6537.903954122606,2016-07-14 00:00:00,RU1609.SHF,6641.586164541406,-0.015858631626642593
2016-07-28 00:00:00,RU1609.SHF,6668.247304363383,2016-09-01 00:00:00,RU1701.SHF,6354.238324237875,0.04709018214127055
2016-10-17 00:00:00,RU1701.SHF,7342.6753968971,2016-10-31 00:00:00,RU1701.SHF,7304.164861598688,0.005244755244755321
2016-11-14 00:00:00,RU1701.SHF,7874.1207840151765,2016-11-21 00:00:00,RU1705.SHF,8957.133764675596,-0.13754081380856967
2016-12-05 00:00:00,RU1705.SHF,9436.844243996564,2016-12-12 00:00:00,RU1705.SHF,9820.104997316488,-0.04061323292092516
2016-12-19 00:00:00,RU1705.SHF,9908.940271264815,2017-01-03 00:00:00,RU1705.SHF,9320.089312521619,0.05942622950819675
2017-02-21 00:00:00,RU1705.SHF,10198.289449267937,2017-04-06 00:00:00,RU1709.SHF,8295.355659512044,0.18659342816480765
2017-04-13 00:00:00,RU1709.SHF,7392.56048514945,2017-04-20 00:00:00,RU1709.SHF,7301.294306320444,0.012345679012345751
2017-04-27 00:00:00,RU1709.SHF,7207.561474009573,2017-06-27 00:00:00,RU1709.SHF,6391.099171512254,0.11327857631759067
2017-07-04 00:00:00,RU1709.SHF,6272.6998043827325,2017-07-18 00:00:00,RU1709.SHF,6640.23117318062,-0.058592213920566356
2017-07-25 00:00:00,RU1709.SHF,6729.03069852776,2017-08-08 00:00:00,RU1801.SHF,6510.936545139712,0.0324109315530044
2017-08-15 00:00:00,RU1801.SHF,6569.6848835992805,2017-09-05 00:00:00,RU1801.SHF,7023.465153080081,-0.06907184705519569
2017-09-12 00:00:00,RU1801.SHF,6786.445994467342
