2014-07-28 00:00:00,P1501.DCE,4004.3889885729564,2014-08-04 00:00:00,P1501.DCE,4008.6580599893455,-0.0010660980810234654
2014-08-18 00:00:00,P1501.DCE,3769.590060671557,2014-09-01 00:00:00,P1501.DCE,3668.555370483682,0.02680256700641748
2014-10-14 00:00:00,P1501.DCE,3745.3986559786854,2014-10-28 00:00:00,P1501.DCE,3664.286299067293,0.02165653495440728
2014-11-18 00:00:00,P1505.DCE,3864.70842487388,2014-12-23 00:00:00,P1505.DCE,3567.646097502622,0.07686539182602174
2015-01-15 00:00:00,P1505.DCE,3590.8314498828177,2015-01-22 00:00:00,P1505.DCE,3532.8680689323282,0.01614205004035513
2015-05-25 00:00:00,P1509.DCE,3640.296898181952,2015-06-01 00:00:00,P1509.DCE,3837.189735700537,-0.054087027246848315
2015-06-15 00:00:00,P1601.DCE,3731.6551436594277,2015-07-21 00:00:00,P1601.DCE,3610.950787882447,0.0323460639127046
2015-07-28 00:00:00,P1601.DCE,3450.98115974428,2015-09-01 00:00:00,P1601.DCE,3135.404711508077,0.09144542772861365
2015-09-17 00:00:00,P1601.DCE,3109.227863267286,2015-09-24 00:00:00,P1601.DCE,3197.9382934166333,-0.028531337698783923
2015-10-08 00:00:00,P1601.DCE,3259.017605978479,2015-10-15 00:00:00,P1601.DCE,3385.539039142302,-0.03882195448460506
2015-10-29 00:00:00,P1601.DCE,3213.9352562304502,2015-11-05 00:00:00,P1601.DCE,3163.0358290955787,0.015837104072398234
2015-11-12 00:00:00,P1601.DCE,3045.240012012019,2015-11-19 00:00:00,P1601.DCE,2976.8893527166206,0.022445081184336163
2015-11-26 00:00:00,P1605.DCE,3052.511358745572,2015-12-03 00:00:00,P1605.DCE,3107.4753313887727,-0.018006148440930944
2015-12-17 00:00:00,P1605.DCE,3056.533112841416,2015-12-24 00:00:00,P1605.DCE,3145.0117029499834,-0.028947368421052683
2016-01-08 00:00:00,P1605.DCE,3169.142227525047,2016-01-29 00:00:00,P1605.DCE,3153.0552111416714,0.0050761421319796135
2016-07-07 00:00:00,P1701.DCE,3272.2802009480574,2016-07-21 00:00:00,P1701.DCE,3423.225580892943,-0.04612850082372322
2016-07-28 00:00:00,P1701.DCE,3316.7551789675326,2016-08-04 00:00:00,P1701.DCE,3517.5664433584966,-0.06054449410808614
2016-09-01 00:00:00,P1701.DCE,3601.125492970844,2016-09-08 00:00:00,P1701.DCE,3727.8117939960157,-0.03517964071856285
2016-10-24 00:00:00,P1701.DCE,3998.7048419328194,2016-10-31 00:00:00,P1701.DCE,4014.8775612126287,-0.004044489383215417
2017-04-13 00:00:00,P1709.DCE,3804.467358870545,2017-04-20 00:00:00,P1709.DCE,3731.9460596164363,0.019062142584826528
2017-07-18 00:00:00,P1801.DCE,3959.3329602388317,2017-07-25 00:00:00,P1801.DCE,4096.334100731525,-0.03460207612456748
2017-08-08 00:00:00,P1801.DCE,4097.856335625888,2017-08-15 00:00:00,P1801.DCE,4091.767396048435,0.00148588410104021
2017-08-29 00:00:00,P1801.DCE,4175.490315238414,2017-09-05 00:00:00,P1801.DCE,4236.379711012944,-0.01458257382428001
2017-09-26 00:00:00,P1801.DCE,4266.82440890021
