"","x"
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0.0131414114
"253",-0.007242476
"254",0.0093651252
"255",0.0008649452
"256",-0.0072310778
"257",0.003643902
"258",-0.0142520362
"259",0.0115859814
"260",-0.0086350078
"261",0.0073381634
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",-0.0073666485
"283",0.0047192315
"284",-0.00633718775
"285",-0.00365803075
"286",-1.291725e-05
"287",0.009590156
"288",0.016001752
"289",0.00417438225
"290",0.015883339
"291",0.0078994795
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",-0.009961213
"333",0.01381026675
"334",0.0285444475
"335",0.016246109
"336",-0.0025791315
"337",6.64702499999998e-05
"338",-0.00912785575
"339",0.00765241475
"340",-8.56962499999996e-05
"341",0.00116445
"342",0.00463304933333333
"343",0.0012111225
"344",-0.00519565566666667
"345",-0.017873958
"346",-0.00796966533333333
"347",0.0146098896666667
"348",-0.0327296601666667
"349",0.0128798535
"350",0.006301375
"351",0.00904775233333333
"352",0.015220458
"353",0.001093454
"354",0.0149414445
"355",-0.01272535975
"356",-0.03499145075
"357",-0.0019352125
"358",0.005378613
"359",0.00750294525
"360",0.00630794825
"361",-0.011663958
"362",0.006512068
"363",-0.00309601633333333
"364",0.0139101376666667
