交易标的,开仓时间,开仓价格,平仓时间,平仓价格,平仓收益率
MA709.CZC,2017/4/10,2533,2017/8/10,2532,-0.000394789
LR805.CZC,2017/8/10,2982,2017/8/24,,0
PM801.CZC,2017/5/9,,2017/9/21,,0
SN1801.SHF,2017/9/21,144770,2017/10/12,146320,0.010706638
SN1801.SHF,2017/10/19,144740,2017/11/16,143110,-0.011261572
AG1712.SHF,2017/5/16,4110,2017/11/23,3869,-0.05863747
P1801.DCE,2017/7/6,5208,2017/11/23,5394,0.035714286
TA801.CZC,2017/8/10,5298,2017/11/23,5410,0.021140053
HC1801.SHF,2017/8/10,4028,2017/11/30,4107,0.019612711
V1801.DCE,2017/8/10,7530,2017/11/30,6105,-0.189243028
CS1801.DCE,2017/8/10,1991,2017/12/7,2043,0.026117529
SN1801.SHF,2017/11/30,141590,2017/12/7,139700,-0.0133484
SR801.CZC,2017/7/20,6274,2017/12/14,6250,-0.003825311
MA801.CZC,2017/8/10,2684,2017/12/14,3262,0.215350224
SF801.CZC,2017/8/24,7460,2017/12/21,8680,0.163538874
SN1805.SHF,2018-02-06,150000.0,2018-02-13,146800.0,-0.021333333333333333
SF805.CZC,2018-02-06,6688.0,2018-03-06,6416.0,-0.04066985645933014
LR805.CZC,2018-03-06,3060.0,2018-03-13,,0
SF805.CZC,2018-03-13,6164.0,2018-03-20,6268.0,0.016872160934458143
TA805.CZC,2018-02-06,5652.0,2018-03-27,5462.0,-0.033616418966737435
P1805.DCE,2018-02-06,5106.0,2018-03-27,5070.0,-0.007050528789659225
CS1805.DCE,2018-02-06,2129.0,2018-04-03,2134.0,0.0023485204321277596
SR805.CZC,2018-02-06,5782.0,2018-04-03,5609.0,-0.029920442753372536
LR805.CZC,2018-03-20,3036.0,2018-04-03,,0
SF805.CZC,2018-03-27,5850.0,2018-04-12,5866.0,0.002735042735042735
V1805.DCE,2018-02-06,6745.0,2018-04-12,6555.0,-0.028169014084507043
HC1805.SHF,2018-02-06,4010.0,2018-04-12,3801.0,-0.052119700748129674
MA805.CZC,2018-02-06,2816.0,2018-04-12,2750.0,-0.0234375
